name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Azurea Juncture,0.9333333333333333,15,3.99,10000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
YOU DON'T KNOW JACK TELEVISION,0.7777777777777778,27,1.99,75000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,-1
Punch Club,0.7843669250645995,7740,6.99,750000.0,478,378,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,-1
HELLDIVERS™ A New Hell Edition,0.9144676979071884,14287,15.99,750000.0,1112,1416,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,-1
Theatre of War 3: Korea,0.3968253968253968,126,4.99,75000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,4,-1
Dragon Sinker,0.7058823529411765,17,8.99,10000.0,11,11,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1
Top Floor,0.42857142857142855,28,3.99,10000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Fritz for Fun 13,0.6086956521739131,23,14.99,10000.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,-1
Abstract Arena,0.6818181818181818,22,3.99,10000.0,9,9,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-1
ReBoot,0.6363636363636364,22,1.59,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
World of Subways 2 – Berlin Line 7,0.6782608695652174,115,8.99,35000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
谜桥 / RiddleBridge,0.9090909090909091,11,2.89,10000.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
寻迹 -A story of a song-,0.7650602409638554,166,1.69,10000.0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Children of Liberty,0.16666666666666666,18,6.99,10000.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,-1
Lords of Football,0.4749034749034749,259,10.99,35000.0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,-1
